,en,ko,type
1,and,그리고,conj
10,that,저것,conj
21,but,하지만,conj
30,or,또는,conj
31,as,~처럼,conj
38,if,만약에,conj
55,when,언제,conj
71,than,~보다,conj
87,because,왜냐하면,conj
151,while,동안,conj
167,where,어디,conj
194,so,그래서,conj
244,though,그렇지만,conj
258,after,~ 후에,conj
259,since,~부터,conj
269,until,~까지,conj
320,whether,~이든,conj
366,before,~ 전에,conj
377,although,하지만,conj
482,even,조차,conj
1064,nor,...도 아니다,conj
1121,like,처럼,conj
1189,once,한 번,conj
1337,unless,~하지 않는 한,conj
1843,long,긴,conj
1904,now,지금,conj
1913,except,제외하고,conj
2187,far,멀리,conj
2337,for,~을 위한,conj
2472,rather,꽤,conj
2501,soon,곧,conj
2753,whereas,반면,conj
2927,not,~ 아니다,conj
3036,in,안에,conj
3650,and/or,및/또는,conj
3877,provided,제공,conj
4473,case,사례,conj
4947,till,까지,conj
