,en,ko,type
18,this,이것,det
25,that,저것,det
32,what,무엇,det
41,all,모두,det
56,which,어느,det
58,some,약간,det
80,these,이것들,det
89,more,더,det
97,many,많은,det
100,those,저것들,det
107,any,어느,det
143,another,또 다른,det
144,much,많이,det
146,own,소유하다,det
159,same,같은,det
181,such,그런,det
183,few,약간의,det
185,most,대부분,det
190,each,각,det
254,both,둘 다,det
309,several,몇몇의,det
441,former,이전의,det
526,whose,누구,det
546,half,반,det
618,less,더 적은,det
775,whatever,무엇이든,det
846,little,작은,det
872,enough,충분한,det
1980,fewer,보다 적은,det
2034,either,어느 하나,det
2747,latter,후자,det
2938,neither,어느 것도 아니다,det
3767,matter,문제,det
4553,no,아니요,det
