ko,en,type
대학원,graduate school,noun
대학원생,graduate student,noun
대학교,"university, college",noun
고등학교,high school,noun
대학생,university student,noun
대학,"university, college; faculty",noun
연구소,research institute,noun
고등학생,high school student,noun
중학생,middle school student,noun
중학교,middle school,noun
초등학교,elementary school,noun
초등학생,elementary school student,noun
유치원,kindergarten,noun
유치원생,kindergartener,noun
학원,"private institute, school, academy",noun
교무실,"faculty office, teacher's office",noun
선생님,teacher,noun
교수,"professor; teaching, instruction",noun
교사,"(higher education) instructor, teacher, school teacher; (formal) instigation, incitement, incite",noun
박사,doctor (phd); expert; doctorate degree,noun
학위,academic degree,noun
반장,"class president, leader",noun
학생,student,noun
동창,"fellow students, classmates",noun
남학생,male student,noun
여학생,female student,noun
전학생,transfer student,noun
복학생,student who has returned to school after a long break,noun
교환학생,exchange student,noun
학자,scholar,noun
장학금,scholarship,noun
학교,school,noun
교장,"principal, headmaster (at a school)",noun
학년,"school year, grade (level)",noun
학기,semester,noun
기말/학기말,"end of a term, end of a semester",noun
방학,vacation (from school),noun
강의,"lecture, class (college)",noun
강의실,"lecture room, classroom (college)",noun
강연회,lecture meeting (less common),noun
교실,classroom (not college),noun
수업,"class, lesson, course (up to highschool)",noun
반,"half; group, class",noun
클래스,class (not school/e.g. class based on skill or quality),noun
레슨,"lesson, private lesson (not school subjects; instruments etc)",noun
과외,"private lessons, tutoring; extra work",noun
유학,studying abroad,noun
전학,act of transferring schools,noun
동창회,"alumni meeting, class reunion",noun
과목,"subject, course",noun
경영학,business administration (field of study),noun
수학,mathematics; study,noun
과학,science,noun
역사,history,noun
문학,literature,noun
심리학,psychology,noun
체육,"physical education, physical training, physical activity",noun
체육관,gym (for sports),noun
시,"poem; time, hour; o'clock; city",noun
소설,novel; fiction,noun
편지,"letter, note",noun
엽서,postcard,noun
캠퍼스,campus,noun
도서관,library,noun
독서실,"reading room, study room",noun
공부,studying,noun
교과서,textbook,noun
책,book,noun
신간,new book,noun
책장,"(bigger) bookshelf, bookcase; the page of a book",noun
책꽂이,bookshelf,noun
학습,"learning, studies",noun
독학,"self-study, self education",noun
연구,"research (into/on), study (of/into/on)",noun
시험,"exam, test",noun
시험지,test paper,noun
정답,correct answer,noun
오답,"wrong answer, incorrect answer",noun
숙제,"homework, assignment",noun
과제,"task, assignment, project, homework; problem",noun
종이,paper,noun
서류,"documents, papers (plural)",noun
문서,"document, papers (singular)",noun
보고서,"report, paper",noun
논문,"thesis, research paper",noun
수필,essay (that a writer would write),noun
글,"writing, (a piece of) writing",noun
글씨,handwriting,noun
글자,"letter, characters (of a language)",noun
문자,"letters, characters, alphabet, writing system; big words; text message",noun
문장,sentence; a good writer; crest,noun
예문,example in sentence(s),noun
문구,"writing supplies; phrase, sentence, expression",noun
공책,notebook,noun
페이지,page,noun
계산기,calculator,noun
책상,desk,noun
연필,pencil,noun
펜,pen,noun
만년필,fountain pen,noun
필통,pencil case,noun
지우개,"eraser, rubber",noun
사전,dictionary,noun
칠판,"blackboard, chalkboard",noun
수첩,"(pocket) notebook, personal organizer",noun
일기,"diary, journal; one's lifetime, one's whole life; weather",noun
인간,"human being, person, mankind",noun
민족,"people, ethnic group, race",noun
국민,"the public, people, citizen",noun
시민,citizen; city dweller,noun
인구,population,noun
남녀,men and women,noun
성별,"sex, gender",noun
노약자,"elderly, weak people",noun
노인,"old people, senior citizen",noun
젊은이,"the youth, young person, young adult",noun
개인,"individual, each person",noun
인물,"person, individual, character, figure; look, appearance",noun
죽음,death,noun
살인,"murder, killing",noun
인생,life (entirety)(refers to the entirety of life/has a more serious nuance so in some situations it would be awkward),noun
