,en,ko,type
8,it,그것,pron
9,I,나,pron
12,you,너,pron
13,he,그,pron
19,they,그들,pron
22,we,우리,pron
29,she,그녀,pron
36,who,누구,pron
57,them,그들을,pron
59,me,나,pron
66,him,그를,pron
102,one,하나,pron
104,her,그녀의,pron
111,us,우리를,pron
141,something,무엇,pron
314,nothing,아무것도 아님,pron
330,anything,아무것,pron
368,himself,그 자신,pron
388,everything,모든 것,pron
418,someone,누구,pron
448,themselves,그들 자신,pron
528,everyone,여러분,pron
555,itself,그 자체,pron
657,anyone,누구나,pron
661,myself,내 자신,pron
713,other,다른,pron
722,each,각,pron
791,herself,그녀 자신,pron
801,everybody,여러분,pron
917,yourself,당신 자신,pron
1001,somebody,어떤 사람,pron
1019,whom,누구,pron
1088,none,없음,pron
1109,no,아니요,pron
1152,nobody,아무도,pron
1385,anybody,아무도,pron
1555,lots,많이,pron
1789,ourselves,우리 스스로,pron
1885,his,그의,pron
2059,plenty,풍부한,pron
2255,mine,나의 것,pron
2335,another,또 다른,pron
3181,yours,당신 것,pron
3883,hers,그녀,pron
4137,ours,우리 것,pron
4281,whoever,누구나,pron
