,en,ko,type
0,be,~이다,verb
1,and,그리고,conj
2,of,의,prep
3,a,ㅏ,art
4,in,안에,prep
5,to,에게,t
6,have,가지다,verb
7,to,에게,prep
8,it,그것,pron
9,I,나,pron
10,that,저것,conj
11,for,~을 위한,prep
12,you,너,pron
13,he,그,pron
14,with,~와 함께,prep
15,on,~에,prep
16,do,하다,verb
17,say,말하다,verb
18,this,이것,det
19,they,그들,pron
20,at,~에,prep
21,but,하지만,conj
22,we,우리,pron
23,his,그의,art
24,from,~에서,prep
25,that,저것,det
26,not,~ 아니다,x
27,n't,그렇습니다,x
28,by,~에 의해,prep
29,she,그녀,pron
30,or,또는,conj
31,as,~처럼,conj
32,what,무엇,det
33,go,가다,verb
34,their,그들의,art
35,can,~할 수 있다,verb
36,who,누구,pron
37,get,가져 오기,verb
38,if,만약에,conj
39,would,~일 것이다,verb
40,her,그녀의,art
41,all,모두,det
42,my,나의,art
43,make,만들다,verb
44,about,~에 대한,prep
45,know,알다 ,verb
46,will,~ 할 것이다,verb
47,as,~처럼,prep
48,up,위로,adv
49,one,하나,m
50,time,시각,noun
51,there,거기,e
52,year,년도,noun
53,so,그래서,adv
54,think,생각한다,verb
55,when,언제,conj
56,which,어느,det
57,them,그들을,pron
58,some,약간,det
59,me,나,pron
60,people,사람들,noun
61,take,가져가다,verb
62,out,밖으로,adv
63,into,~ 안으로,prep
64,just,단지,adv
65,see,보다,verb
66,him,그를,pron
67,your,당신의,art
68,come,오다,verb
69,could,~할 수 있었다,verb
70,now,지금,adv
71,than,~보다,conj
72,like,처럼,prep
73,other,다른,adj
74,how,어떻게,adv
75,then,그 다음에,adv
76,its,그것의,art
77,our,우리의,art
78,two,둘,m
79,more,더,adv
80,these,이것들,det
81,want,원하다,verb
82,way,방법,noun
83,look,바라보다,verb
84,first,첫 번째,m
85,also,또한,adv
86,new,새로운,adj
87,because,왜냐하면,conj
88,day,낮,noun
89,more,더,det
90,use,사용,verb
91,no,아니요,art
92,man,남성,noun
93,find,찾기,verb
94,here,여기,adv
95,thing,물건,noun
96,give,주다,verb
97,many,많은,det
98,well,잘,adv
99,only,뿐,adv
100,those,저것들,det
101,tell,말하다,verb
102,one,하나,pron
103,very,매우,adv
104,her,그녀의,pron
105,even,조차,adv
106,back,뒤,adv
107,any,어느,det
108,good,좋은,adj
109,woman,여성,noun
110,through,~을 통해,prep
111,us,우리를,pron
112,life,삶,noun
113,child,어린이,noun
114,there,거기,adv
115,work,일하다,verb
116,down,아래에,adv
117,may,5월,verb
118,after,~ 후에,prep
119,should,~해야 한다,verb
120,call,전화,verb
121,world,세계,noun
122,over,~ 위에,prep
123,school,학교,noun
124,still,아직,adv
125,try,노력하다,verb
126,in,안에,adv
127,as,~처럼,adv
128,last,마지막,m
129,ask,물어보기,verb
130,need,필요,verb
131,too,~도,adv
132,feel,느끼다,verb
133,three,삼,m
134,when,언제,adv
135,state,상태,noun
136,never,절대,adv
137,become,~이 되다,verb
138,between,~ 사이,prep
139,high,높은,adj
140,really,진짜,adv
141,something,무엇,pron
142,most,대부분,adv
143,another,또 다른,det
144,much,많이,det
145,family,가족,noun
146,own,소유하다,det
147,out,밖으로,prep
148,leave,떠나다,verb
149,put,놓다,verb
150,old,낡은,adj
151,while,동안,conj
152,mean,평균,verb
153,on,~에,adv
154,keep,유지하다,verb
155,student,학생,noun
156,why,왜,adv
157,let,허락하다,verb
158,great,엄청난,adj
159,same,같은,det
160,big,큰,adj
161,group,그룹,noun
162,begin,시작하다,verb
163,seem,~인 것 같다,verb
164,country,국가,noun
165,help,돕다,verb
166,talk,말하다,verb
167,where,어디,conj
168,turn,회전하다,verb
169,problem,문제,noun
170,every,모든,art
171,start,시작,verb
172,hand,손,noun
173,might,~할 것 같다,verb
174,American,미국 사람,adj
175,show,보여 주다,verb
176,part,부분,noun
177,about,~에 대한,adv
178,against,에 맞서,prep
179,place,장소,noun
180,over,~ 위에,adv
181,such,그런,det
182,again,다시,adv
183,few,약간의,det
184,case,사례,noun
185,most,대부분,det
186,week,주,noun
187,company,회사,noun
188,where,어디,adv
189,system,체계,noun
190,each,각,det
191,right,오른쪽,adv
192,program,프로그램,noun
193,hear,듣다,verb
194,so,그래서,conj
195,question,의문,noun
196,during,~ 동안,prep
197,work,일하다,noun
198,play,플레이,verb
199,government,정부,noun
200,run,운영,verb
201,small,작은,adj
202,number,숫자,noun
203,off,끄다,adv
204,always,언제나,adv
205,move,이동하다,verb
206,like,처럼,verb
207,night,밤,noun
208,live,라이브,verb
209,Mr,씨,noun
210,point,가리키다,noun
211,believe,믿다,verb
212,hold,잡고 있다,verb
213,today,오늘,adv
214,bring,가져오다,verb
215,happen,일어나다,verb
216,next,다음,m
217,without,없이,prep
218,before,~ 전에,prep
219,large,크기가 큰,adj
220,all,모두,adv
221,million,백만,m
222,must,~ 해야 하다,verb
223,home,집,noun
224,under,아래에,prep
225,water,물,noun
226,room,방,noun
227,write,쓰다,verb
228,mother,어머니,noun
229,area,지역,noun
230,national,국가의,adj
231,money,돈,noun
232,story,이야기,noun
233,young,어린,adj
234,fact,사실,noun
235,month,월,noun
236,different,다른,adj
237,lot,많은,noun
238,right,오른쪽,noun
239,study,공부하다,noun
240,book,책,noun
241,eye,눈,noun
242,job,직업,noun
243,word,단어,noun
244,though,그렇지만,conj
245,business,사업,noun
246,issue,문제,noun
247,side,옆,noun
248,kind,친절한,noun
249,four,네,m
250,head,머리,noun
251,far,멀리,adv
252,black,검은색,adj
253,long,긴,adj
254,both,둘 다,det
255,little,작은,adj
