ko,present,past,future,en,type
없다,없어요,없었어요,없을 거예요,to not exist/to not have,verb
계시다,계셔요,계셨어요,계실 거예요,"to exist (honorific); be present, stay",verb
이다,이에요/예요,이었어요/였어요,일 거예요,"is, to be, am, are",verb
아니다,아니에요,아니었어요,아닐 거예요,"no, be not, disagree; your welcome (present)",verb
굴다,굴어요,굴었어요,굴 거예요,"to behave, act (in a certain way)",verb
부리다,부려요,부렸어요,부릴 거예요,"to manage, handle; perform (show a skill), have (undesireable personality/act); unload; raise, create",verb
갖다,갖아요,갖았어요,갖을 거예요,"to have, hold; own, possess; have a relationship; target",verb
가지다,가져요,가졌어요,가질 거예요,"to have, carry, own, posses, get?",verb
가져오다,가져와요,가져왔어요,가져올 거예요,"to bring (something), get, incur, cause",verb
가져가다,가져가요,가져갔어요,가져갈 거예요,"to (go and) bring, take (along), carry",verb
싣다,실어요,실었어요,실을 거예요,"to load, get aboard/into, carry, publish; have, take",verb
타다,타요,탔어요,탈 거예요,"to ride, get in; be burnt",verb
태우다,태워요,태웠어요,태울 거예요,"to burn, scorch, tan; give a ride, take aboard; worry (about)",verb
태워주다,태워줘요,태워줬어요,태워줄 거예요,to give a person a ride,verb
받다,받아요,받았어요,받을 거예요,"to receive, accept, get, take",verb
받아들이다,받아들여요,받아들였어요,받아들일 거예요,"to accept, embrace, adopt, absorb, receive; comply (with), consent (to)",verb
얻다,얻어요,얻었어요,얻을 거예요,"to obtain, acquire, get, gain",verb
가다,가요,갔어요,갈 거예요,to go,verb
갔다,0,0,0,I went,verb
갔다오다,갔다와요,갔다왔어요,갔다올 거예요,to go and come back (someone is leaving),verb
가보다,가봐요,가봤어요,가볼 거예요,to have been to a place,verb
오다,와요,왔어요,올 거예요,to come,verb
서다,서요,섰어요,설 거예요,"to stand (up), erect, build; stop",verb
앉다,앉아요,앉았어요,앉을 거예요,"to sit, sit down",verb
달리다,달려요,달렸어요,달릴 거예요,"to run, sprint; depend on",verb
달려가다,달려가요,달려갔어요,달려갈 거예요,"to run, dash, rush (somewhere)",verb
달려오다,달려와요,달려왔어요,달려올 거에요,"to come running, come quickly",verb
뛰다,뛰어요,뛰었어요,뛸 거예요,"to jump; run, dash; take off, get away; work as, serve as",verb
뛰어가다,뛰어가요,뛰어갔어요,뛰어갈 거예요,"to run, dash (might be slightly more common spoken and only for people/animals)",verb
쫓다,쫓아요,쫓았어요,쫓을 거예요,"to chase, pursue",verb
걷다,걸어요,걸었어요,걸을 거예요,to walk,verb
걸어가다,걸어요,걸었어요,걸 거예요,"to walk (somewhere), go somewhere on foot",verb
걸어오다,걸어와요,걸어왔어요,걸어올 거예요,"to come by foot, walk down, follow",verb
걸어다니다,걸어다녀요,걸어다녔어요,걸어다닐 거예요,"to walk, walk around (about, aimlessly/or general walk)",verb
밟다,밟아요,밟았어요,밟을 거예요,"to step on, trample; trail after, shadow, follow, track (down); go through, undergo",verb
딛다,딛어요,딛었어요,딛을 거예요,"to put a foot on the ground, step (on), stamp; overcome, get over",verb
이르다,이르러요,이르렀어요,이를 거예요,"to arrive, reach, get to, attain; be early, premature; tell, say, let someone know, refer to",verb
나서다,나서요,나섰어요,나설 거예요,"to come forward, come out; interfere (in); set out, take action, get started",verb
따르다,따라요,따랐어요,따를 거예요,"to follow, go after; be fond of, love; to pour, fill",verb
따라가다,따라가요,따라갔어요,따라갈 거예요,"to follow, go after, catch up (with); catch up (with) equal",verb
따라오다,따라와요,따라왔어요,따라올 거예요,"to follow, come with, catch up (with); imitate; happen together",verb
따라다니다,따라다녀요,따라다녔어요,따라다닐 거예요,"to follow (somebody around), chase; linger, not disappear",verb
도망치다,도망쳐요,도망쳤어요,도망칠 거예요,"to escape, run away, make off, flee",verb
도망가다,도망가요,도망갔어요,도망갈 거예요,"to (go) run away, escape",verb
빠져나가다,빠녀나가요,빠져나갔어요,빠져나갈 거예요,"to escape, slip away, get out, evade (with intent)",verb
빠져나오다,빠져나와요,빠져나왔어요,빠져나올 거예요,"to escape, get out (of)",verb
벗어나다,벗어나요,벗어났어요,벗어날 거예요,"to get out, deviate, escape, break away (from) (naturally); be off the point",verb
달아나다,달아나요,달아났어요,달아날 거예요,"to run away, escape (used as something metaphorically runs away)",verb
비키다,비켜요,비켰어요,비킬 거예요,"to get out of the way, step aside/back; excuse oneself, leave someone alone",verb
물러서다,물러서요,물러섰어요,물러설 거예요,"to step back, back off, back up; withdraw, resign",verb
다니다,다녀요,다녔어요,다닐 거예요,"to go (frequently) somewhere for a purpose, attend",verb
다녀오다,다녀와요,다녀왔어요,다녀올 거예요,"to go/visit and come back, be back, come back",verb
둘러보다,둘러봐요,둘러봤어요,둘러볼 거예요,"to look around, browse",verb
돌다,돌아요,돌았어요,돌 거예요,"to spin, turn, rotate, revolve; go around",verb
돌아가다,돌아가요,돌아갔어요,돌아갈 거예요,"to go back, return; return to, be restored; work, operate; spin, rotate; be divided/distributed",verb
돌아가시다,돌아가셔요,돌아가셨어요,돌아가실 거예요,"to pass away, die (hon); return (to), go back (to); be restored, revert; make a detour",verb
돌아오다,돌아와요,돌아왔어요,돌아올 거예요,"to return, come back, return to, restore; receive, achieve",verb
돌아보다,돌아봐요,돌아봤어요,돌아볼 거예요,"to turn around (and see), look back, look into; reflect on, think back (on)",verb
되돌리다,되돌려요,되돌렸어요,되돌릴 거예요,"to restore, put back; return, give something back; make something change it's direction towards the opposite way",verb
틀다,틀어요,틀었어요,틀 거예요,"to twist, turn, distort; switch on; tie up (one's hair)",verb
삐다,뼈요,뼜어요,삘 거예요,"to sprain, twist",verb
들르다,들러요,들렀어요,들를 거예요,"to stop by, drop by",verb
문병가다,문병가요,문병갔어요,문병갈 거예요,to visit a sick person,verb
찾아가다,찾아가요,찾아갔어요,찾아살 거예요,to visit; collect,verb
찾아오다,찾아와요,찾아왔어요,찾아올 거예요,"to come see someone, come visit; collect, retrieve something",verb
떠나다,떠나요,떠났어요,떠날 거예요,"to leave (stronger/longer), depart, start off; pass away",verb
앞서다,앞서요,앞섰어요,앞설 거예요,"to go before, precede, get ahead of, take the lead",verb
나다,나요,났어요,날 거예요,"to arise out of, happen, come out/up; break out (accident/fire); to occur, to give off sensory/emotional effect",verb
나가다,나가요,나갔어요,나갈 거예요,"to go out, go outside, leave",verb
나오다,나와요,나왔어요,나올 거예요,to come out,verb
나타나다,나타나요,나타났어요,나타날 거예요,"to appear (something that was hidden); turn up, show up (a sign that something will or has occured); be revealed; be expressed, displayed",verb
나타내다,나타내요,나타냈어요,나타낼 거예요,"to express, display; show, turn up, appear; show, reveal; represent, stand for",verb
가리키다,가리켜요,가리켰어요,가리킬 거예요,"to point to, indicate, gesture (to); show, read; refer to, mean, imply",verb
들다,들어요,들었어요,들 거예요,"to come in, enter; hold, have, contain, take; to lift, raise; include, be among; become, grow, get",verb
들어가다,들어가요,들어갔어요,들어갈 거예요,"to enter, go in",verb
들어오다,들어와요,들어왔어요,들어올 거예요,"to come in, enter; join",verb
들여오다,들여와요,들여왔어요,들여올 거예요,to bring in; import,verb
다가오다,다가와요,다가왔어요,다가올 거예요,"to approach, come near, come closer",verb
다가가다,다가가요,다가갔어요,다가갈 거예요,"to approach, go near, get close; make familiar",verb
닥치다,닥쳐요,닥쳤어요,닥칠 거예요,"to approach, draw near (difficulties/tough times) ; shut up, keep one's mouth shut",verb
집다,집어요,집었어요,집을 거예요,"to pick up; pinpoint, point one's finger on something",verb
줍다,주워요,주웠어요,주울 거예요,to pick up (something from the ground that you found); grab; find; gather,verb
쥐다,쥐어요,쥐었어요,쥘 거예요,"to grip, clench, grasp, hold, seize",verb
돌리다,돌려요,돌렸어요,돌릴 거예요,"to be turned, spun; ran, function",verb
돌려주다,돌려줘요,돌려줬어요,돌려줄 거예요,"to give back, return (something), pay back",verb
