,en,ko,type
0,be,~이다,verb
6,have,가지다,verb
16,do,하다,verb
17,say,말하다,verb
33,go,가다,verb
35,can,~할 수 있다,verb
37,get,가져 오기,verb
39,would,~일 것이다,verb
43,make,만들다,verb
45,know,알다 ,verb
46,will,~ 할 것이다,verb
54,think,생각한다,verb
61,take,가져가다,verb
65,see,보다,verb
68,come,오다,verb
69,could,~할 수 있었다,verb
81,want,원하다,verb
83,look,바라보다,verb
90,use,사용,verb
93,find,찾기,verb
96,give,주다,verb
101,tell,말하다,verb
115,work,일하다,verb
117,may,5월,verb
119,should,~해야 한다,verb
120,call,전화,verb
125,try,노력하다,verb
129,ask,물어보기,verb
130,need,필요,verb
132,feel,느끼다,verb
137,become,~이 되다,verb
148,leave,떠나다,verb
149,put,놓다,verb
152,mean,평균,verb
154,keep,유지하다,verb
157,let,허락하다,verb
162,begin,시작하다,verb
163,seem,~인 것 같다,verb
165,help,돕다,verb
166,talk,말하다,verb
168,turn,회전하다,verb
171,start,시작,verb
173,might,~할 것 같다,verb
175,show,보여 주다,verb
193,hear,듣다,verb
198,play,플레이,verb
200,run,운영,verb
205,move,이동하다,verb
206,like,처럼,verb
208,live,라이브,verb
211,believe,믿다,verb
212,hold,잡고 있다,verb
214,bring,가져오다,verb
215,happen,일어나다,verb
222,must,~ 해야 하다,verb
227,write,쓰다,verb
261,provide,제공하다,verb
267,sit,앉다,verb
280,stand,서다,verb
282,lose,잃다,verb
285,pay,지불,verb
287,meet,만나다,verb
291,include,포함,verb
292,continue,계속하다,verb
293,set,세트,verb
303,learn,배우다,verb
305,change,변화,verb
317,lead,선두,verb
319,understand,이해하다,verb
322,watch,보다,verb
324,follow,따르다,verb
328,stop,멈추다,verb
331,create,만들다,verb
334,speak,말하다,verb
336,read,읽다,verb
338,allow,허용하다,verb
339,add,추가하다,verb
341,spend,경비,verb
352,grow,자라다,verb
354,open,열려 있는,verb
357,walk,걷다,verb
360,win,이기다,verb
372,offer,권하다,verb
378,remember,기억하다,verb
389,love,사랑,verb
393,consider,고려하다,verb
394,appear,나타나다,verb
396,buy,구입,verb
399,wait,기다리다,verb
400,serve,제공하다,verb
402,die,주사위,verb
403,send,보내다,verb
404,expect,예상하다,verb
407,build,짓다,verb
408,stay,머무르다,verb
409,fall,떨어지다,verb
413,cut,자르다,verb
421,reach,도달하다,verb
423,kill,죽이다,verb
425,remain,남아있다,verb
429,suggest,제안하다,verb
432,raise,들어올리다,verb
440,pass,통과하다,verb
442,sell,팔다,verb
445,require,필요하다,verb
449,report,보고서,verb
455,decide,결정하다,verb
470,pull,당기다,verb
471,return,반품,verb
479,explain,설명,verb
481,hope,희망,verb
483,develop,개발하다,verb
486,carry,나르다,verb
489,drive,운전하다,verb
493,break,부서지다,verb
496,thank,감사하다,verb
497,receive,받다,verb
504,join,가입하다,verb
513,agree,동의하다,verb
516,pick,선택하다,verb
517,wear,입다,verb
523,support,지원하다,verb
532,end,끝,verb
534,hit,때리다,verb
535,base,베이스,verb
541,produce,생산하다,verb
542,eat,먹다,verb
544,teach,가르치다,verb
552,face,얼굴,verb
559,cover,씌우다,verb
567,describe,설명하다,verb
585,catch,잡다,verb
591,draw,그리다,verb
599,choose,선택하다,verb
600,cause,원인,verb
603,point,가리키다,verb
608,listen,듣다,verb
619,realize,깨닫다,verb
630,place,장소,verb
648,close,닫다,verb
655,involve,관련시키다,verb
658,increase,증가하다,verb
666,seek,찾다. 목표물 탐색,verb
673,deal,거래,verb
675,fight,싸움,verb
676,throw,던지다,verb
685,fill,채우다,verb
686,represent,대표하다,verb
687,focus,집중하다,verb
689,drop,하락,verb
690,plan,계획,verb
694,push,푸시,verb
700,reduce,줄이다,verb
702,note,노트,verb
708,enter,입력하다,verb
709,share,공유하다,verb
726,rise,증가,verb
731,shoot,사격,verb
733,save,저장,verb
748,protect,보호하다,verb
750,lie,거짓말하다,verb
755,occur,발생하다,verb
765,accept,동의하기,verb
769,identify,식별하다,verb
772,determine,결정하다,verb
773,prepare,준비하다,verb
777,argue,다투다,verb
783,recognize,인정하다,verb
784,indicate,나타내다,verb
789,wonder,궁금하다,verb
803,lay,놓다,verb
809,fail,불합격,verb
811,arrive,도착하다,verb
814,name,이름,verb
818,present,현재,verb
822,answer,대답,verb
832,compare,비교하다,verb
834,miss,놓치다,verb
838,act,행동,verb
844,state,상태,verb
848,discuss,논의하다,verb
850,force,힘,verb
855,check,확인하다,verb
862,laugh,웃다,verb
863,guess,추측,verb
866,study,공부하다,verb
867,prove,입증하다,verb
868,hang,매달다,verb
871,design,설계,verb
873,forget,잊다,verb
875,claim,주장하다,verb
877,remove,제거하다,verb
881,sound,소리,verb
882,enjoy,즐겨,verb
887,form,형태,verb
897,establish,설립하다,verb
906,visit,방문,verb
908,care,케어,verb
909,avoid,피하다,verb
910,imagine,상상하다,verb
916,finish,마치다,verb
921,respond,대답하다,verb
923,maintain,유지하다,verb
928,reveal,드러내다,verb
933,contain,포함하다,verb
935,head,머리,verb
936,control,제어,verb
939,apply,적용하다,verb
943,shake,떨림,verb
944,fly,파리,verb
946,manage,관리하다,verb
953,perform,공연하다,verb
957,discover,발견하다,verb
961,treat,치료하다,verb
964,affect,영향을 미치다,verb
971,worry,걱정하다,verb
973,mention,언급하다,verb
996,improve,개선하다,verb
1000,sign,징후,verb
1005,reflect,반영하다,verb
1014,sing,노래,verb
1017,exist,존재하다,verb
1029,address,주소,verb
1031,test,테스트,verb
1035,step,단계,verb
1038,beat,이기다,verb
1041,tend,추세,verb
1046,notice,알아채다,verb
1057,wish,소망,verb
1070,smile,웃다,verb
1079,figure,수치,verb
1082,relate,말하다,verb
1083,travel,여행하다,verb
1085,prevent,예방하다,verb
1090,born,태어난,verb
1091,admit,인정하다,verb
1093,assume,추정하다,verb
1101,suffer,시달리다,verb
1118,publish,게시,verb
1119,cost,비용,verb
1122,release,풀어 주다,verb
1123,own,소유하다,verb
1130,recall,상기하다,verb
1132,stare,응시,verb
1141,hurt,아프다,verb
1146,strike,스트라이크,verb
1153,achieve,성취하다,verb
1157,refer,나타내다,verb
1164,conduct,지휘하다,verb
1165,announce,발표하다,verb
1167,examine,조사하다,verb
1168,touch,접촉,verb
1170,attend,참석하다,verb
1172,vote,투표,verb
1174,sleep,잠,verb
1183,experience,경험,verb
1184,replace,바꾸다,verb
1186,encourage,장려하다,verb
1209,complete,완벽한,verb
1211,stick,막대,verb
1212,define,정의하다,verb
1228,introduce,소개하다,verb
1236,drink,마시다,verb
1241,handle,핸들,verb
1251,refuse,거절하다,verb
1253,roll,롤,verb
1257,gain,얻다,verb
1259,hide,숨다,verb
1277,express,표현하다,verb
1288,ride,타다,verb
1293,deliver,배달,verb
1299,observe,관찰하다,verb
1305,emerge,알려지다,verb
1310,earn,벌다,verb
1314,operate,작동하다,verb
1317,contribute,기여하다,verb
1321,settle,해결하다,verb
1322,feed,밥을 먹이다,verb
1323,collect,수집,verb
1333,promote,홍보하다,verb
1336,count,세다,verb
1338,marry,결혼하다,verb
1345,order,주문하다,verb
1347,survive,생존하다,verb
1348,lift,승강기,verb
1351,jump,도약,verb
1352,gather,모으다,verb
1353,limit,한계,verb
1354,fit,맞다,verb
1356,cry,울다,verb
1359,associate,연관짓다,verb
1363,result,결과,verb
1364,insist,주장하다,verb
1372,approach,접근하다,verb
1376,spread,확산,verb
1380,ignore,무시하다,verb
1382,measure,측정하다,verb
1384,demonstrate,입증하다,verb
1392,engage,관계를 맺다,verb
1396,cross,십자가,verb
1399,threaten,위협,verb
1400,commit,저지르다,verb
1411,deny,부인하다,verb
1419,blow,불다,verb
1423,destroy,파괴하다,verb
1424,cook,요리하다,verb
1426,charge,요금,verb
1427,burn,불타다,verb
1429,view,보다,verb
1441,dress,드레스,verb
1442,promise,약속하다,verb
1450,extend,연장하다,verb
1453,combine,결합시키다,verb
1459,demand,수요,verb
1464,remind,상기시키다,verb
1475,fire,불,verb
1481,depend,의존하다,verb
1484,grab,붙잡다,verb
1489,participate,참가하다,verb
1498,hire,고용하다,verb
1508,tie,묶다,verb
1523,train,기차,verb
1528,lean,기대다,verb
1533,hate,싫어하다,verb
1536,press,누르다,verb
1542,intend,의도하다,verb
1543,attack,공격,verb
1548,shut,닫다,verb
1553,welcome,환영하다,verb
1563,nod,목례,verb
1564,paint,페인트,verb
1567,direct,직접,verb
1573,climb,오르다,verb
1579,expand,확장하다,verb
1585,disappear,사라지다,verb
